data_label,item,intended_construct,reverse_worded,scale,question_text
SYNTHETIC DATA,camr_02,camaraderie,False,1-5 Likert,I can be myself at work.
SYNTHETIC DATA,camr_03,camaraderie,False,1-5 Likert,There is a sense of 'family' or team in my group.
SYNTHETIC DATA,camr_04,camaraderie,False,1-5 Likert,We celebrate successes together.
SYNTHETIC DATA,camr_05,camaraderie,False,1-5 Likert,New colleagues are made to feel welcome.
SYNTHETIC DATA,camr_06,camaraderie,False,1-5 Likert,People cooperate rather than compete destructively.
SYNTHETIC DATA,camr_07,camaraderie,False,1-5 Likert,I can rely on my colleagues when I need help.
SYNTHETIC DATA,camr_08,camaraderie,True,1-5 Likert,People here keep to themselves and do not help each other.
SYNTHETIC DATA,lead_01,leadership,False,1-5 Likert,My manager sets a clear direction for the team.
SYNTHETIC DATA,lead_02,leadership,False,1-5 Likert,My manager gives me useful feedback.
SYNTHETIC DATA,lead_03,leadership,False,1-5 Likert,Senior leadership has a clear vision for the company.
SYNTHETIC DATA,lead_04,leadership,False,1-5 Likert,My manager is competent at running the team.
SYNTHETIC DATA,lead_05,leadership,False,1-5 Likert,Decisions are made at the right speed here.
SYNTHETIC DATA,lead_06,leadership,False,1-5 Likert,My manager supports me when things go wrong.
SYNTHETIC DATA,lead_07,leadership,True,1-5 Likert,Leadership here avoids difficult decisions.
SYNTHETIC DATA,lead_08,leadership,False,1-5 Likert,I have confidence in the leadership of this company.
SYNTHETIC DATA,devl_01,development,False,1-5 Likert,I have opportunities to learn and grow here.
SYNTHETIC DATA,devl_02,development,False,1-5 Likert,I can see a career path for myself here.
SYNTHETIC DATA,devl_03,development,False,1-5 Likert,"My skills are developed, not just used."
SYNTHETIC DATA,devl_04,development,False,1-5 Likert,I am given challenging work that stretches me.
SYNTHETIC DATA,devl_05,development,False,1-5 Likert,My manager discusses my development with me.
SYNTHETIC DATA,devl_06,development,False,1-5 Likert,Internal moves and promotions are genuinely possible.
SYNTHETIC DATA,devl_07,development,False,1-5 Likert,The training I receive is of good quality.
SYNTHETIC DATA,devl_08,development,False,1-5 Likert,I am encouraged to take on new responsibilities.
SYNTHETIC DATA,well_01,wellbeing,False,1-5 Likert,I can balance my work and personal life.
SYNTHETIC DATA,well_02,wellbeing,False,1-5 Likert,My workload is manageable.
SYNTHETIC DATA,well_03,wellbeing,False,1-5 Likert,I can take time off when I need it.
SYNTHETIC DATA,well_04,wellbeing,False,1-5 Likert,This is a psychologically healthy place to work.
SYNTHETIC DATA,well_05,wellbeing,True,1-5 Likert,I often feel burnt out by my work.
SYNTHETIC DATA,well_06,wellbeing,False,1-5 Likert,Stress here is at a reasonable level.
SYNTHETIC DATA,well_07,wellbeing,False,1-5 Likert,People are encouraged to switch off outside working hours.
SYNTHETIC DATA,well_08,wellbeing,False,1-5 Likert,I feel safe raising a concern without fear of consequences.
SYNTHETIC DATA,sat_01,satisfaction,False,1-5 Likert,"Overall, I am satisfied working here."
SYNTHETIC DATA,sat_02,satisfaction,False,1-5 Likert,"Taking everything into account, this is a great place to work."
SYNTHETIC DATA,sat_03,satisfaction,False,1-5 Likert,I rarely think about leaving this organisation.
SYNTHETIC DATA,sat_04,satisfaction,False,1-5 Likert,I would still choose to join this company if deciding today.
